customer_token,tenure_months,monthly_charge_eur,total_charges_eur,num_products,contract_type,payment_method,has_internet_service,has_phone_service,support_tickets_6m,avg_monthly_usage_gb,days_since_last_contact,nps_score,payment_delay_count_12m,age_bucket,gender_encoded,region,churned
2a4b2a53c4e04c71,14,17.63,259.57,1,two_year,auto_debit,False,True,0,46.8,119,5.1,0,65+,0,CH-BE,0
285ea4ca8c35e49e,69,59.05,4120.4,1,monthly,digital_wallet,False,False,2,107.7,172,1.0,3,18-25,1,DE-HE,0
92d22d40618e5f53,33,99.75,3395.11,4,monthly,credit_card,False,True,11,34.8,338,2.3,2,18-25,0,DE-BY,0
305c43f9ac88e981,48,44.19,2159.34,3,annual,invoice,False,True,9,317.5,273,7.3,1,51-65,1,DE-HE,0
e97b3e0b20a99c99,71,38.06,2750.53,1,monthly,auto_debit,False,False,4,33.1,290,8.8,2,26-35,1,AT-W,0
7e6231315e2ab6b2,58,30.0,1777.35,5,annual,digital_wallet,False,False,3,498.7,70,5.1,0,18-25,0,DE-NW,0
d0244b2e899ab6bc,20,98.17,2018.72,4,two_year,digital_wallet,False,True,10,360.4,349,8.8,6,36-50,1,DE-BY,0
ed4a16cea68d7e1f,37,60.65,2332.22,3,two_year,invoice,True,False,10,253.8,101,1.5,6,26-35,0,CH-ZH,0
294eec57b188ae20,41,66.3,2775.52,3,monthly,auto_debit,True,True,1,366.0,35,9.8,4,26-35,0,CH-BE,0
58fe4ef80ba65ab8,60,114.42,6982.79,5,annual,invoice,True,False,6,497.6,332,3.7,4,51-65,0,DE-NW,0
aefe81416a2fabaf,28,21.72,631.05,5,monthly,auto_debit,True,True,3,33.7,16,8.6,0,65+,0,DE-HE,0
8166de5cde53c8ee,62,37.49,2378.2,5,two_year,digital_wallet,True,False,12,203.5,48,1.0,3,36-50,1,AT-W,0
e471fdaf173e9a5f,59,105.7,6358.22,1,monthly,digital_wallet,False,True,3,95.8,274,4.5,3,26-35,1,AT-W,0
7a95d43b030bcb1f,31,106.82,3451.14,5,monthly,auto_debit,True,True,12,424.3,85,4.1,3,26-35,1,DE-BY,0
cf5b8dacc43023aa,21,54.79,1192.52,4,annual,digital_wallet,False,True,3,148.4,29,5.8,4,18-25,1,DE-BY,0
27c92834df097d11,6,76.34,561.31,2,monthly,auto_debit,True,True,9,34.0,120,4.0,4,26-35,0,CH-ZH,0
fe5695a30da60bbd,10,59.02,650.56,3,monthly,credit_card,True,False,6,65.4,330,3.0,2,18-25,0,AT-W,0
445cbc8cafc91178,72,119.59,8695.77,3,monthly,credit_card,True,True,5,142.5,224,8.3,5,36-50,0,CH-BE,0
ad007edf2917d996,70,46.43,3316.91,2,annual,auto_debit,True,True,4,140.9,107,7.2,1,36-50,1,DE-HE,0
513c2e73b6e607e2,6,24.69,167.32,1,annual,invoice,False,True,11,220.9,361,4.3,0,18-25,0,CH-BE,0
5bd4c9e5956de746,19,72.29,1451.76,2,annual,invoice,True,False,5,449.5,20,9.0,1,26-35,0,DE-HE,0
13ddef20378fc798,71,107.83,7776.77,2,monthly,invoice,True,False,0,89.7,170,7.8,3,26-35,1,DE-NW,0
d80291ff8a609246,13,55.17,770.76,2,annual,credit_card,False,True,3,11.8,98,4.0,2,18-25,1,DE-HE,1
3cdd1af24469afca,65,56.97,3762.08,1,monthly,credit_card,True,False,0,54.2,222,3.5,6,36-50,1,CH-ZH,0
df5a7d4e1e07dca3,65,27.14,1782.83,1,two_year,digital_wallet,True,True,5,215.6,340,9.2,4,36-50,0,CH-BE,0
3ca7c76a3216d1e2,38,68.25,2649.89,3,two_year,invoice,True,False,10,470.2,346,7.5,1,65+,1,AT-W,0
2e7329697a5ef49e,70,102.54,7250.62,5,two_year,credit_card,False,False,7,337.8,261,4.7,6,26-35,0,DE-HE,0
11b0f22fe097ebd1,65,84.7,5555.76,2,two_year,credit_card,True,True,2,12.2,125,9.8,4,18-25,1,AT-W,0
124e6a8ca5919757,24,90.43,2251.68,2,two_year,auto_debit,True,False,3,87.9,356,5.2,0,65+,0,DE-BY,0
8a7bd3275b901b34,58,29.0,1711.9,5,two_year,credit_card,False,False,8,223.0,81,7.4,3,51-65,1,DE-NW,0
6ea67b24b77eb9f4,35,95.41,3446.85,3,annual,auto_debit,False,True,4,167.9,276,0.8,1,26-35,1,CH-BE,0
70af6a05166575bf,19,89.17,1775.16,5,annual,digital_wallet,True,True,6,194.7,299,9.5,0,65+,1,AT-W,1
016ff9d51a4486dc,0,113.99,101.45,4,two_year,invoice,False,True,4,217.9,14,3.9,5,51-65,0,AT-W,0
692810cfefcfecae,16,117.98,2053.67,5,two_year,auto_debit,True,False,2,433.4,93,0.5,3,36-50,0,AT-W,0
22d5bb56573939bc,41,50.44,2107.3,4,annual,auto_debit,False,True,11,269.7,179,2.2,0,18-25,0,DE-NW,0
2160957767334b7b,25,103.12,2654.16,4,two_year,auto_debit,True,False,11,128.1,188,1.7,4,18-25,0,DE-HE,0
b30511c26c4cf80e,13,75.76,1066.38,4,annual,invoice,True,True,1,348.6,154,8.5,4,18-25,0,DE-HE,0
