interaction_id,customer_token,channel,topic,duration_minutes,resolution_status,satisfaction_score,agent_id_hash,interaction_date
f099778730beb6f8,023bed971c9205c8,chat,technical,12.6,resolved,8.3,cfa1407a0ddbe71e,2024-06-04
d40eb61f6fbaca41,1bcfd5947f39426e,email,upgrade,0.4,resolved,7.6,f390a7f3d461cad8,2024-06-03
cd051a8605a684dc,f0bdf50af02c3036,email,general,3.1,resolved,9.7,b4b0a9df62e6341e,2024-08-13
600577ec8b3c91fc,189d6ab44a602ce6,phone,cancellation,4.8,resolved,7.3,c423299841bcd116,2024-11-20
36f52d8c8130273e,2709c6d24922d50e,email,technical,2.4,resolved,4.0,ee08771c9d0f0715,2024-12-17
03d46ca25099cf08,f3ab14cdd1f7c406,app,technical,0.4,unresolved,2.4,3370822d9a67b2b4,2024-09-26
3bba033ff09f0fce,6c14a166a64d8b13,branch,upgrade,8.3,resolved,6.2,0823317874a6b052,2024-07-20
5473490eb490f340,bfb5e25d1defb1ce,phone,billing,22.7,escalated,2.2,1fa6b70d2a59204a,2024-08-26
a860d5781ebf6836,6a5e8d62a433a4a5,branch,complaint,5.7,resolved,4.8,cfa1407a0ddbe71e,2024-01-30
86384a3ea796eb8c,1a13581cb12c0831,branch,cancellation,0.2,unresolved,4.0,b42c3b95cba63112,2024-05-27
5887e6d08c2ec06f,cca7ef7141361fdf,email,cancellation,0.5,unresolved,5.5,7c89d0af87939122,2024-09-03
ff170fd7cdeaf95b,dc04c42ebfeda16c,chat,complaint,1.5,resolved,5.8,56de770f703fbd3c,2024-02-08
f4a5781b397e9fab,6c14a166a64d8b13,branch,upgrade,8.2,resolved,8.9,fb850b9cfc684926,2024-03-24
048c48a6f64b883a,e11c4b4d9ebc35d0,email,complaint,6.9,unresolved,3.8,b7dff30912eb0039,2024-06-13
6a3e0f03f501afbb,0d440c2adf3f05cc,email,general,4.0,resolved,7.8,1a74383a109cb319,2024-04-15
34f730bbd85b725e,ada3958d08916f0f,branch,cancellation,4.3,unresolved,3.0,0823317874a6b052,2024-10-09
78202ab6147d6866,e56433ed5346f95f,chat,complaint,3.8,resolved,2.0,dad25bdc2eb28efc,2024-05-09
9fba257c7b1b991d,09ab9c9076ff0dc4,branch,cancellation,2.8,unresolved,6.5,b42c3b95cba63112,2024-03-10
3308766617588140,2db647ad564ecb7a,app,general,8.5,resolved,8.2,d120a5423d6b9809,2024-09-22
eab383f103bff932,016ff9d51a4486dc,branch,technical,2.0,unresolved,5.0,5b7627488b739561,2024-02-07
d0525f562b67bccb,f3949495d1d258f1,phone,cancellation,6.8,resolved,4.8,c423299841bcd116,2024-08-04
945e91780e7163c5,7f66816c12c166d6,chat,billing,1.2,resolved,1.1,f058f69146fde5a4,2024-11-11
c5fe198a1b347c08,8d86e1749618f528,app,cancellation,13.7,resolved,9.6,4cc9a85ce7df38b6,2024-03-10
0dd03477195077cb,36d6a41bcef939ab,email,cancellation,5.5,resolved,6.3,56de770f703fbd3c,2024-09-12
14300356655ab85c,3ca015a11b3dab8b,phone,billing,4.9,resolved,8.7,3370822d9a67b2b4,2024-04-13
2320bfadf28fbc39,c8c37fc4912b4fd6,chat,upgrade,7.0,unresolved,6.6,d62a03403b96385d,2024-01-16
5be08dcfef554918,875c96b52ad634b5,email,cancellation,3.4,resolved,7.2,3c4fd57ee2769348,2024-10-20
f314f8ace8aa39d1,ca53275e55749087,branch,upgrade,5.4,resolved,3.3,5b7627488b739561,2024-05-19
c49b247cc315f33f,356a8c1e286f5d7a,app,cancellation,28.5,resolved,1.7,dfec25d33cc2bf76,2024-11-10
e570e21a2edf050a,9422e52706549680,branch,upgrade,8.5,resolved,5.6,fedc2b2956802007,2024-03-13
8d936edbbea0de39,4852c491722ca246,branch,cancellation,8.6,resolved,9.0,0823317874a6b052,2024-03-10
ee4281a714179b79,64080c50db039307,chat,technical,0.7,resolved,6.3,4cc9a85ce7df38b6,2024-04-07
776c4456d0332c52,876b001890d3aca4,phone,cancellation,7.7,resolved,5.6,774ec0b9da094a62,2024-06-21
6382b8b5aa9a649c,a6acf3ec3917ed9a,chat,technical,5.4,resolved,4.6,ee08771c9d0f0715,2024-08-27
3678b43cc373ff49,297073f7a7ee6b4f,email,complaint,4.2,resolved,6.5,5e638881d60146cc,2024-11-25
9929d865e3afba64,cfc633a0e42f4c7d,chat,upgrade,6.2,resolved,1.9,05793679970dfe83,2024-06-30
87269f3d9df4a04d,044bd9f45244b936,email,upgrade,0.3,unresolved,4.7,b42c3b95cba63112,2024-10-13
67049ce77d95b944,5a4f09026b5bd8b5,branch,technical,8.1,resolved,2.3,3c4fd57ee2769348,2024-08-01
c2fe8487a8eb35db,a54cf8e4bd9cd4d7,chat,billing,8.5,unresolved,6.8,1a74383a109cb319,2024-07-19
2f2dd5141fc20e32,1b60ba3aec06c5b3,email,billing,7.4,resolved,2.3,56de770f703fbd3c,2024-03-23
4c8b099ac626e3d5,a93aa7dace01d135,phone,general,0.9,unresolved,5.9,b42c3b95cba63112,2024-07-29
bf1d3f84ef66d150,d4178519491ed4e0,phone,billing,6.6,resolved,5.9,32bd638578fd7f8f,2024-07-10
7343c6f27be10a1b,7f66816c12c166d6,email,billing,2.9,unresolved,3.3,64b696c958ad6331,2024-02-07
b091ca31300d9ec7,6796a86bf89380a4,branch,complaint,0.8,resolved,2.9,64b696c958ad6331,2024-02-16
f60e9747fca07ed0,bc5b3d83c4f94cac,branch,upgrade,1.2,unresolved,7.8,cfa1407a0ddbe71e,2024-12-13
d94808387c4ade48,d96ba76dbed500bb,chat,general,3.3,resolved,6.8,2305400ca286a6be,2024-04-06
fb9192b9d863e3ff,e91b18a6870ac128,app,general,4.1,resolved,2.2,5e638881d60146cc,2024-09-13
91b5ad5ae77bf02f,dc04c42ebfeda16c,phone,cancellation,0.1,resolved,8.5,bac5f7879d67307f,2024-06-18
b9dcd901d64da0aa,216e516e33710669,phone,general,13.3,resolved,2.9,d62a03403b96385d,2024-06-01
e853dc75ea60eba7,886a3db278c0c1a3,phone,cancellation,4.7,resolved,5.9,06ca84ca3e4fe39c,2024-08-26
65a444b9fd6539dd,f87bb15bd53e109e,chat,general,1.6,resolved,6.7,609f4a1d006cc5d0,2024-04-02
f248393dc039d450,1a7e0a3bed5c2d81,email,cancellation,2.4,resolved,7.1,1c39c989cc2a171c,2024-03-14
9bcd2b94bfad46e5,6208e28482f81294,app,billing,5.1,resolved,8.5,dfec25d33cc2bf76,2024-10-07
10286b08fddd4a21,e56433ed5346f95f,chat,complaint,0.6,resolved,2.9,2305400ca286a6be,2024-10-18
b2dc4b488e0686b6,a20543486f3cdd47,branch,upgrade,2.2,resolved,6.5,1c39c989cc2a171c,2024-04-18
c5b35236d9835195,ce52540e7c6e8d1c,branch,complaint,1.3,resolved,8.7,0addca0233b2a77d,2024-05-20
6d34a007d44c0812,c2417da8ecc86cd2,phone,general,3.9,resolved,8.8,fedc2b2956802007,2024-04-17
11c6f30ab2cb41d2,ffeee34bbe241244,chat,technical,5.9,resolved,7.3,fedc2b2956802007,2024-11-09
b99666824fd93a2b,cf6a24668294f154,branch,general,2.5,resolved,3.8,64b696c958ad6331,2024-05-07
9b299b12be9395fa,04591516c0cb3ee1,chat,cancellation,2.4,resolved,5.6,b42c3b95cba63112,2024-03-26
958f0e16331fd79b,4d2ab5de3d01f17e,app,technical,1.0,resolved,4.6,3370822d9a67b2b4,2024-11-19
9777a94f46e2dc34,8f1e6776beeabb48,branch,upgrade,3.0,resolved,5.8,c5c4ea45c9fa7128,2024-04-02
a3295d799655f715,299b90f63d80b474,app,cancellation,11.9,resolved,4.9,5b7627488b739561,2024-03-12
